#loc_id;ags;ascii;name;lat;lon;amt;plz;vorwahl;einwohner;flaeche;kz;typ;level;of;invalid
105;D;DEUTSCHLAND;Bundesrepublik Deutschland;51.16766;10.42498;;;;82169000;357104;D;;2;104;
80076;16076087;KLEINWOLSCHENDORF;Kleinwolschendorf;;;;;;;;;;8;26599;0
80085;16076087;PAHREN;Pahren;;;;;;;;;Ortsteil;8;26599;0
80070;;DOERTENDORF;Dörtendorf;;;;;;;;;Ortsteil;8;25089;0
80082;;MEHLA;Mehla;;;;;;;;;Ortsteil;8;25089;0
80087;16076091;POELLWITZ;Pöllwitz;;;;;036628;;;;Ortsteil;7;25446;0
80068;16076091;COSSENGRUEN;Cossengrün;;;;;036621;;;;;7;25446;0
80078;16076087;LAEWITZ;Läwitz;;;;;;;;;Ortsteil;8;26599;0
80080;16076087;LEITLITZ;Leitlitz;;;;;;;;;Ortsteil;8;26599;0
80072;16076087;FOERTHEN;Förthen;;;;;;;;;Ortsteil;8;26599;0
80084;16076087;NIEDERBOEHMERSDORF;Niederböhmersdorf;;;;;036622;;;;Ortsteil;8;26599;0
80094;16076087;WECKERSDORF;Weckersdorf;;;;;;;;;;8;26599;
80090;16076087;STELZENDORF;Stelzendorf;;;;;;;;;;8;26599;
80064;16076091;ARNSGRUEN;Arnsgrün;;;;;;;;;;7;25446;0
80065;16076091;BERNSGRUEN;Bernsgrün;;;;;;;;;;7;25446;0
80075;16076091;HOHNDORF;Hohndorf;50.611879;12.135526;;07937;;;;;;7;25446;0
80088;16076091;SCHOENBACH;Schönbach;;;;;;;;;;7;25446;0
80066;16076091;BUENA;Büna;;;;;;;;;;8;80064;0
80071;16076091;EUBENBERG;Eubenberg;;;;;;;;;;8;80064;0
80089;16076091;SCHOENBRUNN;Schönbrunn;;;;;;;;;;8;80065;0
80073;16076091;FROTSCHAU;Frotschau;;;;;;;;;;8;80065;0
80069;16076091;DOBIA;Dobia;;;;;;;;;;8;80087;0
80095;16076091;WOLFSHAIN;Wolfshain;;;;;;;;;;8;80087;0
80093;16076091;TREMNITZ;Tremnitz;;;;;;;;;;8;80075;0
80086;16076091;PANSDORF;Pansdorf;;;;;;;;;;8;80075;0
80074;;GRUENBACH;Grünbach;48.69889;9.84289;;73072;07162;;;;;8;15749;1
80063;;ALT RUPPIN;Alt Ruppin;52.947222;12.849444;;16816;03391;2900;;OPR;Ortsteil;7;21545;1
80067;;BUSKOW;Buskow;52.86737;12.81375;;16816;03391;230;;OPR;Ortsteil;8;21545;1
80077;;KRANGEN;Krangen;52.985;12.854444;;16816;03391;159;;OPR;Ortsteil;8;21545;1
80091;;STOEFFIN;Stöffin;52.947222;12.849444;;16816;03391;240;;OPR;Ortsteil;8;21545;1
80092;;TEMNITZ;Temnitz;52.933333;12.666667;;;;5742;;OPR;Amt;6;545;1
80079;13061028;LAUTERBACH;Lauterbach (Rügen);54.343132;13.500345;;18581;038301;;;RÜG;Ortsteil;8;22686;0
80083;13061028;MUGLITZ;Muglitz;54.341431;13.552315;;18581;;;;RÜG;Gemarkung;8;22686;0
80061;;Steinfurt-Borghorst;Steinfurt-Borghorst;;;;48565;02552;34266;;ST;;7;24551;1
80081;16076087;MAERIEN;Märien;;;;;;;;;;8;26599;0
80062;;;;;;;;;;;;;9;80081;1
119;01;SCHLESWIG-HOLSTEIN;Schleswig-Holstein;;;;;;2828986;15799;SH;Bundesland;3;105;
466;01001;FLENSBURG;Flensburg;54.78047;9.43522;;;;;56;FL;Stadt;5;119;
16534;01001000;FLENSBURG;Flensburg;54.78047;9.43522;;24937,24939,24941,24943,24944;0461;86006;56;FL;Stadt;6;466;
469;01002;KIEL;Kiel;54.3226835847914;10.1358584821225;;;;;118;KI;Landeshauptstadt;5;119;
19236;01002000;KIEL;Kiel;54.3226843669499;10.1358638465405;;24103,24105,24106,24107,24109,24111,24113,24114,24116,24118,24143,24145,24146,24147,24148,24149,24159;0431;233620;118;KI;Landeshauptstadt;6;469;
472;01003;LUEBECK;Hansestadt Lübeck;53.86956;10.68758;;;;;214;HL;Hansestadt;5;119;
20437;01003000;LUEBECK;Lübeck;53.86956;10.68713;;23539,23552,23554,23556,23558,23560,23562,23564,23566,23568,23569,23570;0451;212095;214;HL;Hansestadt;6;472;
474;01004;NEUMUENSTER;Neumünster;54.07404;9.98453;;;;;72;NMS;Stadt;5;119;
21517;01004000;NEUMUENSTER;Neumünster, Holstein;54.07402;9.984512;;24534,24536,24537,24539;04321;78128;72;NMS;Stadt;6;474;
258;01051;DITHMARSCHEN;Dithmarschen;54.1474367521367521;9.111395811965812;;;;137390;1434;HEI;Kreis;5;119;
13466;01051001;ALBERSDORF;Albersdorf, Holstein;54.144319;9.284703;Amt Albersdorf;25767;04835;3588;17;HEI;Gemeinde;6;258;
13728;01051002;ARKEBEK;Arkebek;54.160343;9.248884;Amt Albersdorf;25767;04835;250;7;HEI;Gemeinde;6;258;
13837;01051003;AVERLAK;Averlak;53.9404157919798;9.18355818681993;Amt Eddelak-Sankt Michaelisdonn;25715;04855;640;9;HEI;Gemeinde;6;258;
14094;01051004;BARGENSTEDT;Bargenstedt;54.0928582831399;9.14927636427873;Amt Meldorf-Land;25704;04832;925;12;HEI;Gemeinde;6;258;
14104;01051005;BARKENHOLM;Barkenholm, Holstein;54.2375297612527;9.17432792628352;Amt Hennstedt;25791;04836;189;5;HEI;Gemeinde;6;258;
14107;01051006;BARLT;Barlt;54.00761;9.05485;Amt Meldorf-Land;25719;04857;844;23;HEI;Gemeinde;6;258;
14320;01051008;BERGEWOEHRDEN;Bergewöhrden;54.3185725084857;9.2107603713328;Amt Hennstedt;25779;04836;36;3;HEI;Gemeinde;6;258;
14965;01051010;BRICKELN;Brickeln;54.0085421643372;9.22108787887367;Amt Burg-Süderhastedt;25712;04825;212;6;HEI;Gemeinde;6;258;
15051;01051011;BRUNSBUETTEL;Brunsbüttel;53.897863;9.128617;;25541;04852;13789;65;HEI;Stadt;6;258;
15088;01051012;BUCHHOLZ;Buchholz, Dithmarschen;53.988560899646;9.22420527630123;Amt Burg-Süderhastedt;25712;04825;1115;15;HEI;Gemeinde;6;258;
15145;01051013;BUESUM;Büsum;54.13128;8.86236;Amt Büsum;25761;04834;4880;8;HEI;Gemeinde;6;258;
15146;01051014;BUESUMER DEICHHAUSEN;Büsumer Deichhausen;54.13641;8.88819;Amt Büsum;25761;04834;345;3;HEI;Gemeinde;6;258;
15170;01051015;BUNSOH;Bunsoh, Dithmarschen;54.1643385813622;9.325005711561;Amt Albersdorf;25767;04835;871;12;HEI;Gemeinde;6;258;
15179;01051016;BURG;Burg (Dithmarschen);54.000347;9.258527;Amt Burg-Süderhastedt;25712;04825;4364;11;HEI;Gemeinde;6;258;
15241;01051017;BUSENWURTH;Busenwurth;54.038159217082;9.04110522413804;Amt Meldorf-Land;25719;04832;331;10;HEI;Gemeinde;6;258;
15497;01051019;DELLSTEDT;Dellstedt;54.2380156999623;9.36912670875148;Amt Tellingstedt;25786;04802;801;22;HEI;Gemeinde;6;258;
15499;01051020;DELVE;Delve, Holstein;54.3037902739449;9.25210461164061;Amt Hennstedt;25788;04803;737;16;HEI;Gemeinde;6;258;
15580;01051021;DIEKHUSEN-FAHRSTEDT;Diekhusen-Fahrstedt;53.9386537931351;9.0259316920546;Amt Marne-Land;25709;04851;734;7;HEI;Gemeinde;6;258;
15635;01051022;DINGEN;Dingen, Dithmarschen;53.9577562994337;9.1288440286425;Amt Eddelak-Sankt Michaelisdonn;25715;04853;714;7;HEI;Gemeinde;6;258;
15702;01051023;DOERPLING;Dörpling;54.2607089315033;9.30188574040476;Amt Tellingstedt;25794;04803;611;8;HEI;Gemeinde;6;258;
15954;01051024;EDDELAK;Eddelak;53.9459641812068;9.13729432814392;Amt Eddelak-Sankt Michaelisdonn;25715;04855;1462;9;HEI;Gemeinde;6;258;
15993;01051026;EGGSTEDT;Eggstedt, Holstein;54.0539856954151;9.25806160601902;Amt Burg-Süderhastedt;25721;04830;836;13;HEI;Gemeinde;6;258;
16143;01051027;ELPERSBUETTEL;Elpersbüttel;54.07122;9.04626;Amt Meldorf-Land;25704;04832;915;30;HEI;Gemeinde;6;258;
16233;01051028;EPENWOEHRDEN;Epenwöhrden;54.11262;9.0532;Amt Meldorf-Land;25704;04832;808;14;HEI;Gemeinde;6;258;
16450;01051030;FEDDERINGEN;Fedderingen;54.2826805701412;9.13183496947767;Amt Hennstedt;25779;04836;277;10;HEI;Gemeinde;6;258;
16666;01051032;FRESTEDT;Frestedt;54.02464;9.17753;Amt Burg-Süderhastedt;25727;04830;401;10;HEI;Gemeinde;6;258;
16711;01051033;FRIEDRICHSGABEKOOG;Friedrichsgabekoog;54.16263;8.93788;Amt Wesselburen-Land;25764;04839;71;9;HEI;Gemeinde;6;258;
16715;01051034;FRIEDRICHSKOOG;Friedrichskoog, Dithmarschen;54.01213;8.90226;;25718;04854;2522;54;HEI;Gemeinde;6;258;
16861;01051035;GAUSHORN;Gaushorn;54.1947086510896;9.2232829346712;Amt Tellingstedt;25782;04838;213;6;HEI;Gemeinde;6;258;
17108;01051036;GLUESING;Glüsing, Dithmarschen;54.2737118317976;9.21936422730032;Amt Hennstedt;25779;04836;119;5;HEI;Gemeinde;6;258;
